iter	AUC	Logloss
97	0.7303655074	0.4220234256
98	0.7310290555	0.4217275428
99	0.7315046537	0.4214197787
100	0.731616891	0.4212064628
101	0.7321333479	0.4209011235
102	0.732445925	0.4207232555
103	0.7327030699	0.4204306971
104	0.7332185343	0.4201261487
105	0.7332682594	0.4199189689
106	0.7336361694	0.4196343022
107	0.7338112993	0.4194641938
108	0.7342482637	0.419175741
109	0.7345700547	0.4189749192
110	0.7348443371	0.4187805341
111	0.7353469649	0.4185982051
112	0.7357172155	0.4184352736
113	0.7362852668	0.4182464341
114	0.736673573	0.4180186895
115	0.7370557339	0.4177216239
116	0.7374383828	0.4175081668
117	0.7377509599	0.4173410826
118	0.7380232573	0.4171712785
119	0.7382941321	0.4170485079
120	0.7385423278	0.4169091715
121	0.7388213081	0.4167459049
122	0.7392460232	0.4165940232
123	0.739534234	0.4164650903
124	0.7400137857	0.4162841128
125	0.7404687561	0.4160172507
126	0.7406911464	0.4158884749
127	0.7409771571	0.4156934625
128	0.7413357208	0.4155570289
129	0.7415324049	0.4154532001
130	0.7419413058	0.4152785157
131	0.7421872353	0.4150712616
132	0.7427376115	0.4148568996
133	0.7430178739	0.414723871
134	0.7434525307	0.4145754635
135	0.7436595535	0.4144346721
136	0.7436791888	0.4143106012
137	0.7439136712	0.4141360801
138	0.7440122945	0.4139986675
139	0.7444480761	0.4137051058
140	0.7448501205	0.4135187085
141	0.7450345469	0.4134051323
142	0.7452840164	0.4132900368
143	0.745465945	0.4131734449
144	0.7455626659	0.4130530717
145	0.7458946467	0.4128323364
146	0.7460537474	0.4127089313
147	0.7463630492	0.4125667816
148	0.7463931721	0.4124581031
149	0.7466723013	0.4123248076
150	0.7469812722	0.4121753642
151	0.7470506989	0.4120300449
152	0.7473028812	0.4118457325
153	0.7476649023	0.4117034608
154	0.7479535597	0.4115768265
155	0.7484384379	0.4113851858
156	0.7487449772	0.4111418949
157	0.7489178243	0.4110387251
158	0.7491312653	0.4109235663
159	0.7494773151	0.4107921698
160	0.7495271229	0.4107136124
161	0.7498135637	0.410577079
162	0.7499691244	0.4104698838
163	0.7501335681	0.4103763067
164	0.7502588074	0.4103075222
165	0.7504537215	0.4101902577
166	0.7506573531	0.4100844952
167	0.7509660759	0.4099340347
168	0.7511508332	0.4098274228
169	0.7513618095	0.4097041618
170	0.7516206831	0.4095944126
171	0.7518431064	0.4094888978
172	0.7522085186	0.4093744709
173	0.7524804272	0.4092445336
174	0.7527071184	0.4091378078
175	0.7529138599	0.4090204819
176	0.7530087116	0.4089553601
177	0.7531339178	0.4088643808
178	0.7532861535	0.4087952707
179	0.7534683468	0.4087194348
180	0.7535966132	0.4086455891
181	0.7537991035	0.4085308289
182	0.7540660909	0.4083911418
183	0.7543457826	0.4081977331
184	0.7544572589	0.4080284144
185	0.7546139941	0.4079114008
186	0.7549500608	0.4077672089
187	0.7549869825	0.4077126395
188	0.7551302028	0.4076609958
189	0.7552946962	0.4075480039
190	0.7554269327	0.407480484
191	0.7557378722	0.4072601112
192	0.7558462882	0.4072139721
193	0.7560160089	0.4071055151
194	0.7562449663	0.4069886678
195	0.7565157253	0.4067451096
196	0.7567407292	0.4066397545
197	0.7569104663	0.4065487297
198	0.7573049592	0.4063961661
199	0.7574234328	0.4063089611
200	0.7575671826	0.4062509519
201	0.7578032034	0.4061282647
202	0.7578976746	0.406016794
203	0.7581536947	0.4059129494
204	0.7583180226	0.4058083533
205	0.7587293222	0.4056538633
206	0.7589298109	0.4054833859
207	0.759145452	0.4053762741
208	0.7594170877	0.405263056
209	0.75950921	0.4051811889
210	0.7597878264	0.4050443494
211	0.760100999	0.4048904375
212	0.7602194891	0.4047827473
213	0.7605219922	0.4046615034
214	0.7609579558	0.4045238519
215	0.7610239004	0.4044634602
216	0.7612210476	0.4043643424
217	0.7614404934	0.4042742597
218	0.7615617129	0.4042152375
219	0.7617248002	0.4041359755
220	0.7618464333	0.4040689674
221	0.7619618136	0.404002263
222	0.7621679927	0.4038786491
223	0.7624420436	0.4037548234
224	0.7626653436	0.4035945152
225	0.7629940988	0.4034540926
226	0.7632632532	0.4033450177
227	0.7634834764	0.4032116118
228	0.763632685	0.4031351332
229	0.7637363535	0.4030784319
230	0.7640854057	0.402949021
231	0.7642279313	0.4028701846
232	0.7643593242	0.4027434695
233	0.7646524479	0.4025862903
234	0.7648846806	0.4024893232
235	0.7649982413	0.4023929081
236	0.765134514	0.4023206273
237	0.7653414375	0.4021906771
238	0.7654603908	0.4021277535
239	0.7658163741	0.4019655307
240	0.766037441	0.4018468494
241	0.7662197087	0.4017346161
242	0.7663847645	0.4016193561
243	0.766538671	0.4015172968
244	0.7667788108	0.4014055799
245	0.7668823139	0.4013390859
246	0.7671518818	0.4012151087
247	0.7672793212	0.4011073654
248	0.7674389347	0.401040183
249	0.767613469	0.4009434439
250	0.7677204294	0.4008943977
251	0.7679326463	0.4007879256
252	0.768208401	0.4005994756
253	0.7683087115	0.4005547795
254	0.7685354854	0.4004219478
255	0.7686331326	0.4003173535
256	0.7688285264	0.4002105278
257	0.7689510693	0.4001258633
258	0.7691228577	0.4000116174
259	0.769350806	0.3999051396
260	0.7695661494	0.399802272
261	0.7697624695	0.3996973627
262	0.7699219838	0.3996189096
263	0.7700934909	0.3995229675
264	0.7701711555	0.3994712266
265	0.7703193385	0.3994099635
266	0.7705572947	0.3992848825
267	0.7707229791	0.3991664715
268	0.7710152095	0.3990339368
269	0.7711698935	0.398967265
270	0.7713806217	0.3988677588
271	0.7715520792	0.398770334
272	0.7717695565	0.398686266
273	0.7718840435	0.3986225012
274	0.7720829938	0.398507719
275	0.7723267563	0.3983938057
276	0.7724881397	0.3983017029
277	0.7727378408	0.3982083417
278	0.7729233425	0.3981061245
279	0.773040989	0.3980406092
280	0.7731617453	0.3979767759
281	0.7732539999	0.3979030448
282	0.773358694	0.3978359624
283	0.7735310779	0.3977309001
284	0.7736927426	0.3976699104
285	0.7737849476	0.3976145537
286	0.7739298718	0.3975211787
287	0.7740902793	0.3974518524
288	0.7742919424	0.3973678515
289	0.7742618526	0.397332237
290	0.7744055031	0.397246619
291	0.7745394599	0.3971869174
292	0.7748122701	0.3970205364
293	0.7750627983	0.3969197527
294	0.7751736129	0.3968594372
295	0.7753834644	0.3967560888
296	0.7754913015	0.3966325868
297	0.7755767573	0.3965913269
298	0.7757850538	0.3964821168
299	0.7761092268	0.396315474
300	0.7763482252	0.3962161132
301	0.7765612858	0.3961239423
302	0.7766683041	0.396069116
303	0.776791641	0.395964221
304	0.7770675446	0.3958288557
305	0.7771724207	0.3957643048
306	0.7773621157	0.3956222302
307	0.7776788448	0.3954779784
308	0.7778413201	0.3954026816
309	0.7780446044	0.3953213704
310	0.7782179146	0.3952328432
311	0.7784645885	0.3951112589
312	0.7786909819	0.3950266797
313	0.7788213326	0.3949472941
314	0.7790627461	0.3947646756
315	0.7791630567	0.3946738113
316	0.7794062567	0.3945821883
317	0.7796285477	0.3945045016
318	0.7798023211	0.3944151356
319	0.7798995383	0.3943594075
320	0.7800177968	0.3942803922
321	0.7801637136	0.3941952651
322	0.7803314988	0.3941145351
323	0.7804411721	0.3940227816
324	0.780698499	0.3938641817
325	0.7808095121	0.3937833865
326	0.7809652713	0.393736987
327	0.7812325565	0.393630317
328	0.7815000898	0.3934950062
329	0.7816735324	0.3934054147
330	0.7818112608	0.3933152968
331	0.7819403047	0.3932373987
332	0.7821531337	0.393029726
333	0.7823290245	0.3929344983
334	0.7825772533	0.3928028239
335	0.7826809053	0.392739161
336	0.7830123899	0.3925962078
337	0.7830967374	0.3925335972
338	0.783330707	0.3924282974
339	0.7835463482	0.3923342867
340	0.7837990929	0.3922263261
341	0.7840122362	0.3921337844
342	0.7842883383	0.3920112483
343	0.7844957911	0.3918336814
344	0.7846295495	0.3917690767
345	0.7848840477	0.3915491522
346	0.7850535698	0.391463732
347	0.78527022	0.3913243185
348	0.7854375173	0.3912553123
349	0.7855216167	0.3911964379
350	0.7856305621	0.3911244335
351	0.7859011391	0.3910020073
352	0.7860186863	0.3909203353
353	0.7861620556	0.3908443576
354	0.7863192705	0.3907431835
355	0.7864729123	0.3906576678
356	0.7866580501	0.3905592756
357	0.7869431675	0.3904520016
358	0.7871008455	0.3903686658
359	0.7872221809	0.3903058064
360	0.7874471021	0.3902080172
361	0.7876049456	0.390099412
362	0.7878074524	0.3899791615
363	0.7880074614	0.3898764098
364	0.7882801061	0.3897835134
365	0.7885511298	0.3896631006
366	0.7886541532	0.3895987906
367	0.7888671145	0.3894839814
368	0.7891408014	0.3893602877
369	0.7892679926	0.3892636995
370	0.7896141003	0.3891390241
371	0.7898291128	0.3889426003
372	0.7900303625	0.3888272738
373	0.7901838389	0.3887453898
374	0.7904550941	0.3886124489
375	0.7908183227	0.3884823936
376	0.7911119592	0.3883557051
377	0.7913494027	0.3882138425
378	0.7915629265	0.3881065798
379	0.7917576751	0.3879872949
380	0.7919531681	0.3878121721
381	0.7921839451	0.3877069673
382	0.7923487197	0.3876063052
383	0.7926715694	0.3874272834
384	0.792826518	0.3873509384
385	0.7929261668	0.3872861504
386	0.7931444712	0.387175764
387	0.7933974641	0.3870130375
388	0.7935807492	0.3869098413
389	0.7937985077	0.3867845658
390	0.794015803	0.3866910555
391	0.7941748541	0.3865962432
392	0.7943605046	0.3865189711
393	0.7945228475	0.3864146729
394	0.7946609895	0.3863001812
395	0.7949011458	0.3862065278
396	0.7950015721	0.386142008
397	0.7950981276	0.3860799932
398	0.7952656978	0.3859846966
399	0.7954065031	0.3858864874
400	0.7956125168	0.3857700266
401	0.7959736611	0.3856351869
402	0.7961980695	0.3855429612
403	0.7964143557	0.3854202239
404	0.7965159896	0.3853614931
405	0.7966364648	0.3852885034
406	0.7967219868	0.3851468904
407	0.796897464	0.3850118293
408	0.7969664275	0.3849542389
409	0.7973029904	0.3848452289
410	0.7974078003	0.3847632178
411	0.7975987278	0.3846547658
412	0.797839248	0.3845531358
413	0.7980876092	0.3844168826
414	0.7984477114	0.384252079
415	0.7987335235	0.3840180382
416	0.7988753048	0.3839459768
417	0.7990406749	0.3838481426
418	0.7993285052	0.383691163
419	0.799505802	0.3836103948
420	0.7996174438	0.3835473587
421	0.7998397679	0.3834370444
422	0.7999416499	0.3833627098
423	0.8000523983	0.3832895218
424	0.8001795069	0.3832134697
425	0.8002789737	0.3831420477
426	0.8004705794	0.3830404808
427	0.8005757532	0.382981191
428	0.8008644106	0.3828521401
429	0.8009610654	0.3827911116
430	0.8011337635	0.3826854503
431	0.8012713266	0.3825823284
432	0.8014062925	0.3825039934
433	0.8016554808	0.3823959964
434	0.8018340513	0.3823069489
435	0.8020263683	0.3822084738
436	0.8022463269	0.3821033623
437	0.8024798334	0.3819867601
438	0.8024848787	0.3819591454
439	0.8027308081	0.3817996075
440	0.8029744217	0.3816838739
441	0.8031506268	0.3815894403
442	0.8032769082	0.3815197558
443	0.8034776616	0.381433497
444	0.8036620384	0.3813225338
445	0.8039091589	0.3812131318
446	0.8041637068	0.3810826568
447	0.8042672264	0.3810016211
448	0.8043499528	0.3809533313
449	0.8044769124	0.3808889681
450	0.8046536965	0.3807502647
451	0.8047439164	0.3806974697
452	0.8048906106	0.3805483082
453	0.8051265322	0.3803972341
454	0.8053626854	0.3802808412
455	0.8055948354	0.3801672966
456	0.8058596723	0.3799571577
457	0.8059558143	0.3798999377
458	0.8061010032	0.3798098782
459	0.8062671176	0.3797248781
460	0.8064088658	0.37965034
461	0.8066330095	0.3795581293
462	0.8068235068	0.3794540234
463	0.806973162	0.379370716
464	0.8071281603	0.37929901
465	0.8073029428	0.3792055784
466	0.807376141	0.379149495
467	0.807556862	0.3790555262
468	0.8077707993	0.3789284366
469	0.8078870232	0.3788488072
470	0.8080942114	0.3787428675
471	0.8082712436	0.3786382868
472	0.8084334376	0.3785518505
473	0.808611545	0.3784878097
474	0.8087297374	0.3784190523
475	0.8089557834	0.37832609
476	0.8090358631	0.3782387103
477	0.8091980241	0.3781574138
478	0.8093024701	0.3780978405
479	0.8093976857	0.3780342917
480	0.809466186	0.3779708911
481	0.8096247573	0.377886195
482	0.8098680401	0.3777577319
483	0.8100402089	0.3776765164
484	0.810220384	0.3775632372
485	0.8105899813	0.3774164334
486	0.8107743085	0.3773004084
487	0.8110038449	0.3771856986
488	0.8111065374	0.3771198094
489	0.8112260863	0.3770434328
490	0.8114126466	0.3769322636
491	0.8114963324	0.3768699723
492	0.8116839184	0.3767675337
493	0.8118636635	0.3766854542
494	0.812003807	0.3766131465
495	0.8121234717	0.376544904
496	0.8122854341	0.3764527972
497	0.8124624166	0.3763512818
498	0.8126437001	0.3762522636
499	0.812862997	0.3761374289
500	0.8129889972	0.3760660138
501	0.8131481806	0.37597884
502	0.8132796727	0.375880842
503	0.8134381283	0.375801021
504	0.8135269586	0.3757388968
505	0.8135950454	0.3756869558
506	0.8137226502	0.3756162625
507	0.813815616	0.3755364456
508	0.8140124655	0.3754307984
509	0.8141710368	0.3753429812
510	0.8143564558	0.3752417311
511	0.8146022033	0.3751088461
512	0.8147803769	0.3750025838
513	0.814979046	0.3749182711
514	0.815191296	0.3748338853
515	0.8152956593	0.3747682472
516	0.8155003827	0.374675809
517	0.8157031377	0.3745875777
518	0.81585008	0.3744882131
519	0.8160010586	0.3743655104
520	0.8161943846	0.374234068
521	0.8162520003	0.3741760407
522	0.8164293467	0.3740592332
523	0.8165633698	0.3739266417
524	0.816770161	0.3738196942
525	0.8169567213	0.3737298373
526	0.817069339	0.3736688662
527	0.8171534219	0.3735908732
528	0.8172431125	0.3735224391
529	0.817426414	0.3734335407
530	0.8175908909	0.3733516623
531	0.8177155511	0.3732741058
532	0.8178569354	0.3731755134
533	0.8180465064	0.3730618563
534	0.8182301553	0.3729653941
535	0.8183967661	0.3728677557
536	0.8185538486	0.3727715376
537	0.8186617188	0.3727063804
538	0.8187842617	0.3726296589
539	0.8189298311	0.3725398746
540	0.8190224165	0.3724277976
541	0.8191812194	0.3723270655
542	0.8193673662	0.3722451644
543	0.8194661052	0.3721757462
544	0.8195694926	0.372096981
545	0.8196659653	0.371981314
546	0.8198027178	0.371909438
547	0.8199345739	0.3718325565
548	0.8200792665	0.3717517818
549	0.8201751603	0.3716400698
550	0.8203159655	0.371514313
551	0.8204268795	0.3714271997
552	0.8205495547	0.3713564857
553	0.8207194408	0.3712461398
554	0.8208341097	0.3711377137
555	0.8208944052	0.3710671198
556	0.8210926276	0.3709542223
557	0.8212291981	0.3708793195
558	0.8214039971	0.3707795797
559	0.8215375901	0.3707080511
560	0.8215803676	0.3706710383
561	0.821757863	0.3705437771
562	0.8219874656	0.3704186717
563	0.8222379441	0.3702987952
564	0.8224152906	0.3702258831
565	0.8225912971	0.3701318572
566	0.8226793666	0.3700623123
567	0.8228469533	0.3699666378
568	0.8230795499	0.369846377
569	0.8231975438	0.3697445221
570	0.823378728	0.3696487429
571	0.8235169693	0.3695590924
572	0.8236789648	0.36946136
573	0.8239152338	0.3693528369
574	0.824036321	0.3692744062
575	0.8241706914	0.3691888602
576	0.8241359864	0.3691455413
577	0.8242743103	0.3690563144
578	0.8244407557	0.3689617963
579	0.8245818918	0.368864032
580	0.8245995751	0.36882743
581	0.824765243	0.3687053033
582	0.8248181111	0.3686565361
583	0.8251204487	0.368540938
584	0.8252093783	0.3684740423
585	0.8253386042	0.3683946473
586	0.8254968613	0.3683018065
587	0.8255990576	0.3682302982
588	0.8257348175	0.3681451007
589	0.8259251494	0.3680461409
590	0.8261184093	0.367947945
591	0.8262573618	0.3678595073
592	0.8263196093	0.3677610164
593	0.8264790077	0.3676580695
594	0.8265353827	0.3676227807
595	0.8265755632	0.3675926286
596	0.826722886	0.3675098507
597	0.8269736126	0.3673866102
598	0.8271998241	0.3672561318
599	0.8272939975	0.3671992633
600	0.8273613068	0.3671448288
601	0.8275130794	0.3670406089
602	0.8275667746	0.367002989
603	0.8277523094	0.3669209712
604	0.8277694634	0.366882741
605	0.8279865602	0.3667919928
606	0.8281853782	0.3666742516
607	0.8283468444	0.3665848306
608	0.8285525769	0.3664663728
609	0.8287089316	0.3663908358
610	0.8288025591	0.3663201946
611	0.8289143829	0.366266117
612	0.8290387289	0.3661869916
613	0.8291580957	0.3661034316
614	0.8293069735	0.3660104681
615	0.8294435605	0.3659379079
616	0.8296404761	0.3658421632
617	0.8298193776	0.3657189384
618	0.8299879402	0.3656288914
619	0.8301645754	0.3655190374
620	0.8303321125	0.3654302062
621	0.8304444821	0.3653426092
622	0.830520294	0.3652387012
623	0.8306982856	0.3651196229
624	0.8307614759	0.3650728045
625	0.8309266475	0.3649786073
626	0.8310821751	0.3648877193
627	0.8311603359	0.3648249497
628	0.8312646496	0.364758165
629	0.8313680369	0.3646995995
630	0.8315110588	0.3645994956
631	0.8317443667	0.3644833763
632	0.8318976777	0.3643404176
633	0.8320423207	0.3642666652
634	0.8321485533	0.3641883772
635	0.8323196634	0.3640917866
636	0.8324155903	0.3640210961
637	0.832523262	0.3639403973
638	0.8326407596	0.3638559525
639	0.8327800099	0.3637932689
640	0.8329805648	0.3636962156
641	0.8331375812	0.3635961978
642	0.8332588173	0.3635169855
643	0.8333872822	0.3634334834
644	0.8335285837	0.3633534414
645	0.8336265453	0.3632878654
646	0.8337144824	0.3632164778
647	0.8338158185	0.3631595811
648	0.834112995	0.3630391817
649	0.8342847999	0.3629475804
650	0.8343411419	0.3628856604
651	0.8344727002	0.3627895699
652	0.834567221	0.3627004849
653	0.8347228148	0.3625539829
654	0.8347720602	0.3625050707
655	0.8348619824	0.3624465096
656	0.834933361	0.3624069676
657	0.8350880946	0.3623045346
658	0.8352163941	0.3622210861
659	0.8353274238	0.3621552979
660	0.8355023056	0.3620574451
661	0.8356249312	0.361967607
662	0.8357175828	0.3619037264
663	0.8358419784	0.3618108262
664	0.8360551879	0.3616920897
665	0.8361728674	0.3616006737
666	0.8362633355	0.3615530721
667	0.8363676326	0.3614796114
668	0.8365454257	0.3614094962
669	0.8366065317	0.3613542248
670	0.8367018797	0.3613018645
671	0.8368147125	0.3612344128
672	0.8369213089	0.3611745739
673	0.8370485332	0.3610547585
674	0.8372200404	0.3609803715
675	0.8373248503	0.3609191486
676	0.8374759777	0.3608266642
677	0.8377395079	0.3607054345
678	0.8378131693	0.3606265626
679	0.8379359273	0.3605375079
680	0.8380866577	0.3604441911
681	0.8382163467	0.3603782229
682	0.8383542075	0.3602886052
683	0.8384507796	0.3602249335
684	0.8386125104	0.3601390861
685	0.838708702	0.3600694405
686	0.8388985707	0.359985645
687	0.8389875831	0.3599278111
688	0.8391180165	0.3598451972
689	0.8392145885	0.3597702684
690	0.8392879687	0.3596575038
691	0.8393683958	0.3595873918
692	0.8394998548	0.3594974148
693	0.8396427609	0.3593849121
694	0.8397698529	0.3593144061
695	0.83984851	0.3592495565
696	0.8399468354	0.3591919819
697	0.8400217209	0.3591311386
698	0.8400849443	0.3590886055
699	0.8401815329	0.3590221666
700	0.8402718025	0.3589652856
701	0.8404552364	0.3588767049
702	0.8406289932	0.358780525
703	0.8407209666	0.3586662334
704	0.8408512842	0.3585451686
705	0.8410126015	0.3584605537
706	0.8410910767	0.3583915894
707	0.8411571949	0.3583441017
708	0.8412635598	0.3582791576
709	0.8413737128	0.3582224629
710	0.8415505795	0.3581206481
711	0.8416391783	0.3580621325
712	0.8417983617	0.357966702
713	0.8419131134	0.3578979188
714	0.842000058	0.3578398675
715	0.8421409128	0.357722087
716	0.8423074409	0.3576229417
717	0.8423215677	0.357579224
718	0.8423469596	0.3575401449
719	0.8424471544	0.3574466712
720	0.8425824346	0.3573309077
721	0.8426646813	0.3572781669
722	0.8427551328	0.3572127752
723	0.842986985	0.357100177
724	0.8430825646	0.3570248587
725	0.8431936439	0.3569667266
726	0.8432519709	0.3569131497
727	0.8433283782	0.3568557765
728	0.8434204839	0.3567872479
729	0.8434983139	0.3567435268
730	0.8435926859	0.3566856205
731	0.843733243	0.3565983013
732	0.8437539204	0.3565699464
733	0.8438737505	0.3564938056
734	0.8440614191	0.3563922217
735	0.8440947016	0.3563392436
736	0.8442299818	0.3562538169
737	0.8443796536	0.3561530584
738	0.8444806258	0.3560946157
739	0.8445741872	0.3560073946
740	0.8446297682	0.3559517288
741	0.8447806475	0.3558550563
742	0.8448433085	0.35581213
743	0.8450008046	0.3557130814
744	0.8450802722	0.3556586043
745	0.8452300102	0.3555761934
746	0.8453300064	0.355518016
747	0.8453835196	0.3554689953
748	0.8454992307	0.3554034783
749	0.8456484062	0.355291162
750	0.8456993059	0.3552599886
751	0.845806349	0.3551817855
752	0.8459452519	0.3551106835
753	0.8459718514	0.3550676925
754	0.8460902754	0.3550005572
755	0.8461879722	0.3549545958
756	0.8462534454	0.3549040244
757	0.8463874519	0.3548211516
758	0.8464524287	0.3547759029
759	0.8466019516	0.3546980948
760	0.846756619	0.3546286277
761	0.8468877969	0.3545509142
762	0.8470663178	0.354462863
763	0.8472059651	0.354365765
764	0.8473687051	0.3542667035
765	0.8475031582	0.3541692712
766	0.8476195475	0.3540818006
767	0.8477168308	0.3540191921
768	0.8478309539	0.3539465296
769	0.8479428107	0.3538648415
770	0.8480223776	0.3538025141
771	0.8480954766	0.3537441143
772	0.848210162	0.353672821
773	0.8483096951	0.3535852237
774	0.8484974134	0.3534929932
775	0.8487003503	0.3533544645
776	0.8487924394	0.3532750569
777	0.848868334	0.3532262697
778	0.8489575779	0.3531600373
779	0.8490458128	0.3530995657
780	0.8491203013	0.3530396339
781	0.8492897076	0.3529436182
782	0.8494300332	0.3528839657
783	0.8496082398	0.3527548903
784	0.8497430403	0.3526804376
785	0.8498252539	0.3526208662
786	0.8500452787	0.3525188502
787	0.8501551008	0.3524522385
788	0.8502119225	0.3524087896
789	0.8503328609	0.3523375965
790	0.8504657921	0.352260114
791	0.8505591716	0.3521911995
792	0.8506241484	0.3521380745
793	0.8506926487	0.3520928827
794	0.850809799	0.3520253186
795	0.8508601362	0.3519897187
796	0.8509174707	0.3519452066
797	0.8512313711	0.3518021504
798	0.8513170585	0.3517287119
799	0.8514028783	0.3516782285
800	0.8515331628	0.3515993025
801	0.851647716	0.3515291472
802	0.8517758004	0.3514432485
803	0.8518576501	0.3513913801
804	0.8519768681	0.3512945295
805	0.8520409352	0.3512328008
806	0.8520806524	0.3511900473
807	0.8521761989	0.3511044982
808	0.8522221194	0.3510553283
809	0.8523872413	0.3509398809
810	0.8524679992	0.3508670531
811	0.8525438276	0.3508020347
812	0.8526558002	0.3507274129
813	0.8527413884	0.3506502297
814	0.8527837358	0.3506068007
815	0.8528622606	0.3505545366
816	0.8529631997	0.3504814831
817	0.8530700939	0.3504135862
818	0.8531670464	0.3503544137
819	0.8532318413	0.3502939598
820	0.8533846229	0.3501904154
821	0.8534922119	0.350109941
822	0.8535001521	0.3500830127
823	0.8536248123	0.3500123625
824	0.8536741405	0.3499710792
825	0.8537625573	0.3498903086
826	0.8537754601	0.3498450978
827	0.8538737194	0.3497792729
828	0.8539465041	0.3497180968
829	0.8540162781	0.3496513406
830	0.8540472943	0.349585191
831	0.8541016016	0.3495430337
832	0.8542383044	0.3494451476
833	0.8543177224	0.3493962137
834	0.8545294762	0.3492889375
835	0.8546778908	0.3491757035
836	0.8548424007	0.3490952219
837	0.8549825443	0.3489813056
838	0.855087073	0.3489213688
839	0.8551663752	0.3488716188
840	0.8552370921	0.3488188981
841	0.8553108693	0.3487626712
842	0.8553718595	0.3487156577
843	0.8555461292	0.3485925053
844	0.8557122768	0.3484829134
845	0.8558117436	0.3484272023
846	0.855916719	0.3483542233
847	0.8559578754	0.3483221097
848	0.856018022	0.3482640449
849	0.856042256	0.3482245113
850	0.8560918819	0.3481855504
851	0.8561784626	0.3481333106
852	0.8562547211	0.3480509234
853	0.8563548	0.3479978396
854	0.8564317367	0.3479513826
855	0.8565132555	0.3478741381
856	0.8566009611	0.3478207608
857	0.8567206919	0.3477177738
858	0.8567754623	0.3476822952
859	0.8568585361	0.3476289063
860	0.8569676966	0.3475516136
861	0.8570085552	0.3475217496
862	0.8571602947	0.3474394136
863	0.8572300026	0.3473937629
864	0.857347219	0.3473276597
865	0.8575005631	0.3472368638
866	0.8576957914	0.3471394732
867	0.8578360508	0.347044838
868	0.8578938319	0.3469949801
869	0.8579627623	0.3469405415
870	0.8580089971	0.3468788035
871	0.8581287444	0.3467957622
872	0.8582611133	0.3467090358
873	0.8583655428	0.3466396201
874	0.8583787267	0.3466209182
875	0.8584988876	0.3465395634
876	0.8585803072	0.3464887004
877	0.8586845216	0.346420059
878	0.8587697789	0.3463420099
879	0.8589048606	0.3462679965
880	0.8589808875	0.3462002984
881	0.8590838944	0.3461260164
882	0.859104423	0.3460829161
