iter	Passed	Remaining
0	111	111565
1	219	109589
2	336	111881
3	449	111808
4	554	110341
5	676	112148
6	781	110871
7	917	113817
8	1114	122769
9	1229	121697
10	1341	120645
11	1467	120839
12	1630	123789
13	1843	129804
14	2021	132724
15	2202	135470
16	2310	133599
17	2421	132117
18	2530	130654
19	2661	130401
20	2867	133677
21	3019	134219
22	3120	132567
23	3245	131989
24	3445	134355
25	3610	135264
26	3809	137283
27	3939	136771
28	4056	135837
29	4239	137071
30	4381	136957
31	4507	136357
32	4632	135734
33	4747	134892
34	4888	134796
35	5081	136083
36	5254	136762
37	5445	137864
38	5610	138260
39	5805	139320
40	5941	138962
41	6077	138635
42	6250	139102
43	6491	141047
44	6672	141599
45	6861	142308
46	7165	145283
47	7412	147020
48	7727	149978
49	8121	154314
50	8420	156694
51	8560	156061
52	8682	155131
53	8786	153931
54	8887	152699
55	8990	151549
56	9136	151149
57	9248	150216
58	9382	149638
59	9582	150118
60	9737	149894
61	9912	149966
62	10104	150280
63	10248	149887
64	10364	149086
65	10469	148164
66	10576	147286
67	10693	146565
68	10796	145680
69	10958	145590
70	11211	146691
71	11358	146397
72	11471	145678
73	11581	144925
74	11692	144211
75	11801	143480
76	11914	142824
77	12024	142141
78	12137	141500
79	12254	140925
80	12375	140412
81	12485	139773
82	12589	139089
83	12699	138487
84	12812	137918
85	12936	137485
86	13049	136943
87	13159	136378
88	13270	135832
89	13377	135262
90	13492	134779
91	13608	134312
92	13716	133776
93	13829	133292
94	13938	132781
95	14050	132307
96	14249	132655
97	14479	133271
98	14589	132783
99	14706	132358
100	14867	132334
101	15029	132314
102	15247	132787
103	15381	132520
104	15597	132950
105	15835	133558
106	16032	133806
107	16209	133880
108	16424	134259
109	16608	134374
110	16789	134465
111	17066	135310
112	17297	135775
113	17493	135961
114	17670	135989
115	17937	136692
116	18191	137295
117	18524	138465
118	18766	138932
119	19049	139696
120	19367	140694
121	19606	141101
122	19852	141552
123	20082	141875
124	20354	142479
125	20733	143816
126	21084	144937
127	21422	145938
128	21666	146290
129	21822	146039
130	21977	145790
131	22127	145503
132	22278	145230
133	22441	145032
134	22590	144746
135	22750	144533
136	22885	144163
137	23048	143967
138	23187	143627
139	23322	143268
140	23469	142982
141	23602	142611
142	23755	142366
143	23920	142192
144	24060	141872
145	24189	141492
146	24332	141192
147	24491	140992
148	24630	140673
149	24757	140294
150	24911	140064
151	25056	139787
152	25210	139563
153	25355	139288
154	25500	139021
155	25657	138815
156	25819	138634
157	25977	138435
158	26165	138396
159	26348	138328
160	26535	138278
161	26708	138158
162	26908	138174
163	27138	138340
164	27416	138741
165	27670	139021
166	27906	139199
167	28170	139513
168	28304	139177
169	28412	138722
170	28523	138278
171	28659	137963
172	28774	137551
173	28880	137098
174	28988	136661
175	29154	136496
176	29319	136327
177	29425	135888
178	29566	135609
179	29777	135652
180	29998	135736
181	30197	135723
182	30434	135872
183	30629	135834
184	30759	135508
185	30868	135091
186	30980	134690
187	31127	134446
188	31364	134585
189	31510	134333
190	31731	134400
191	31949	134455
192	32254	134867
193	32412	134661
194	32581	134501
195	32733	134273
196	32974	134407
197	33098	134065
198	33225	133735
199	33399	133599
200	33523	133260
201	33648	132928
202	33757	132534
203	33885	132221
204	34052	132056
205	34217	131886
206	34334	131534
207	34463	131227
208	34622	131034
209	34952	131489
210	35112	131299
211	35295	131194
212	35486	131116
213	35648	130934
214	35823	130798
215	35977	130583
216	36271	130877
217	36579	131217
218	36855	131435
219	37092	131511
220	37281	131412
221	37524	131504
222	37722	131436
223	37887	131251
224	38074	131144
225	38320	131237
226	38564	131322
227	38835	131494
228	39010	131339
229	39120	130968
230	39249	130662
231	39408	130455
232	39520	130094
233	39701	129962
234	39876	129812
235	40002	129501
236	40108	129125
237	40216	128760
238	40333	128425
239	40448	128085
240	40564	127752
241	40674	127403
242	40790	127072
243	40909	126751
244	41017	126399
245	41126	126055
246	41234	125705
247	41360	125417
248	41600	125471
249	41830	125490
250	41932	125128
251	42049	124812
252	42158	124474
253	42282	124182
254	42534	124266
255	42845	124521
256	43075	124533
257	43344	124658
258	43609	124768
259	43810	124690
260	43971	124502
261	44203	124511
262	44429	124504
263	44685	124578
264	44858	124419
265	45087	124415
266	45298	124358
267	45472	124202
268	45715	124229
269	45869	124018
270	46020	123798
271	46180	123599
272	46317	123344
273	46438	123045
274	46585	122815
275	46818	122813
276	46988	122646
277	47098	122319
278	47206	121992
279	47421	121941
280	47563	121702
281	47680	121399
282	47798	121101
283	47979	120961
284	48151	120802
285	48320	120631
286	48486	120457
287	48688	120368
288	48836	120147
289	48938	119813
290	49096	119621
291	49314	119569
292	49471	119373
293	49612	119138
294	49719	118820
295	49828	118511
296	49932	118190
297	50054	117912
298	50169	117621
299	50280	117322
300	50387	117013
301	50494	116706
302	50605	116409
303	50709	116097
304	50807	115775
305	50909	115460
306	51020	115168
307	51126	114868
308	51231	114565
309	51374	114350
310	51486	114063
311	51599	113782
312	51714	113507
313	51822	113216
314	51929	112925
315	52041	112647
316	52154	112371
317	52269	112099
318	52369	111797
319	52477	111515
320	52583	111227
321	52687	110938
322	52797	110661
323	52895	110362
324	53003	110083
325	53112	109809
326	53227	109546
327	53334	109269
328	53445	109003
329	53550	108723
330	53658	108452
331	53771	108190
332	53870	107902
333	53979	107636
334	54089	107371
335	54207	107123
336	54327	106881
337	54429	106604
338	54526	106319
339	54638	106063
340	54748	105805
341	54851	105532
342	54954	105261
343	55066	105009
344	55179	104761
345	55281	104491
346	55378	104213
347	55489	103962
348	55603	103718
349	55712	103465
350	55816	103204
351	55921	102945
352	56027	102690
353	56143	102454
354	56256	102212
355	56374	101981
356	56471	101711
357	56574	101454
358	56745	101319
359	56908	101171
360	57017	100925
361	57186	100787
362	57394	100717
363	57559	100571
364	57731	100437
365	57928	100346
366	58114	100235
367	58319	100157
368	58519	100069
369	58647	99858
370	58821	99727
371	59007	99615
372	59177	99475
373	59434	99480
374	59666	99443
375	59839	99308
376	59969	99100
377	60089	98878
378	60223	98677
379	60351	98468
380	60471	98245
381	60591	98025
382	60793	97936
383	60903	97698
384	61008	97454
385	61183	97322
386	61315	97123
387	61427	96890
388	61541	96662
389	61711	96523
390	61850	96334
391	62005	96172
392	62222	96103
393	62392	95964
394	62557	95816
395	62739	95693
396	62908	95551
397	63155	95526
398	63398	95495
399	63646	95469
400	63892	95440
401	64114	95373
402	64413	95421
403	64781	95568
404	65043	95558
405	65321	95569
406	65485	95412
