iter	AUC	RMSE
284	0.8034705826	0.3444685015
285	0.8036357071	0.3444382244
286	0.8037563434	0.3443866936
287	0.8041649638	0.3443050624
288	0.8047931574	0.3441279166
289	0.8049383019	0.3440916636
290	0.8052080475	0.3440233563
291	0.8053879496	0.3439732878
292	0.8055804059	0.3439307151
293	0.8063145471	0.3437782172
294	0.8069106437	0.3436372932
295	0.8073390737	0.3435293303
296	0.8075387854	0.3434793673
297	0.8077424397	0.3434213894
298	0.8078814108	0.3433759112
299	0.8080554063	0.3433296821
300	0.8083183487	0.3432541528
301	0.8087668921	0.3431068338
302	0.8092157246	0.3429969863
303	0.8095695703	0.3429202667
304	0.8097341168	0.3428726258
305	0.8100221676	0.3427991029
306	0.8105069435	0.3426758228
307	0.8108378447	0.3426061818
308	0.8111967447	0.3425333278
309	0.8114810678	0.342482317
310	0.811815808	0.3424025213
311	0.8122417479	0.3422983405
312	0.8124828871	0.3422469886
313	0.8127229072	0.3421838071
314	0.8129719169	0.3421250933
315	0.8131691162	0.342068658
316	0.8133471729	0.3420319665
317	0.8135724007	0.3419592055
318	0.8143079352	0.3418033518
319	0.8146025448	0.3417122657
320	0.8148917814	0.3416370342
321	0.8152779909	0.3415476848
322	0.8155039079	0.341450107
323	0.8157988954	0.3413876409
324	0.8161500731	0.3413221438
325	0.8162884884	0.3412823856
326	0.8165325253	0.3412242692
327	0.8167136947	0.3411622141
328	0.8169865826	0.3410783138
329	0.8171603557	0.3410319772
330	0.8175575039	0.3409222434
331	0.8178646603	0.3408053976
332	0.8183493028	0.340671195
333	0.8187963418	0.3405772786
334	0.8189432872	0.3404888515
335	0.8191706789	0.3403983692
336	0.819399879	0.3403291891
337	0.8198285832	0.3402333191
338	0.819961381	0.3401880457
339	0.8203101353	0.3400885265
340	0.8205893374	0.340012405
341	0.8210443951	0.3399081636
342	0.8214419213	0.3398171476
343	0.8216948736	0.339739946
344	0.8218975571	0.3396759999
345	0.8220503127	0.3396249118
346	0.8223554533	0.339539494
347	0.8227210676	0.3394482806
348	0.823157257	0.3393250835
349	0.8233282214	0.3392694465
350	0.8238484959	0.3391445903
351	0.8240504309	0.3391046696
352	0.824356698	0.3390377076
353	0.8246907785	0.3389407584
354	0.8250718893	0.3388163297
355	0.8254822291	0.3387410787
356	0.8256720767	0.3386856962
357	0.8257930539	0.3386378614
358	0.8259835018	0.3385823703
359	0.8264077965	0.3384429147
360	0.8266773272	0.3383853478
361	0.8272768477	0.3382162464
362	0.8275450815	0.3381431296
363	0.8277577105	0.3380435098
364	0.828028012	0.3379875387
365	0.8281974423	0.3379289158
366	0.8284550117	0.3378812722
367	0.8288449045	0.3377736987
368	0.829035723	0.3376793504
369	0.8292760395	0.3376063535
370	0.8294126465	0.3375629017
371	0.8297349288	0.3374628392
372	0.829953494	0.3373864284
373	0.8302049938	0.3373191895
374	0.8303387476	0.3372786177
375	0.8304853075	0.3371954463
376	0.8307410242	0.3371325488
377	0.8309960293	0.3370736386
378	0.8312028852	0.3370271065
379	0.8315488308	0.3369471492
380	0.831855713	0.3368584716
381	0.8321113258	0.33678479
382	0.8324026819	0.3367096257
383	0.8325969762	0.3366459601
384	0.8328309193	0.3365705329
385	0.8331547282	0.3364985948
386	0.8333203122	0.3364342668
387	0.8336163224	0.3363017254
388	0.8339619493	0.3361862012
389	0.8345008552	0.3360600503
390	0.834630859	0.3360256224
391	0.8351534161	0.3359021783
392	0.8354036931	0.3358365476
393	0.8356861486	0.335773223
394	0.8358407495	0.3357177046
395	0.8359845155	0.3356664913
396	0.8361634838	0.3355767128
397	0.8365044714	0.3354877739
398	0.8369404088	0.3353860849
399	0.8372589114	0.3353061183
400	0.8375613099	0.3351976062
401	0.8377303845	0.3351327374
402	0.838188755	0.3349992946
403	0.8384264851	0.3349474478
404	0.8388602066	0.3348020475
405	0.839087087	0.3347371647
406	0.8393300048	0.3346535374
407	0.839505527	0.3346109563
408	0.8397430125	0.3345388023
409	0.8399086707	0.3344924026
410	0.8400699563	0.3344077827
411	0.8402734624	0.334331222
412	0.8404985642	0.3342357556
413	0.840711045	0.3341854712
414	0.8411669254	0.3340568608
415	0.8415247286	0.3339543948
416	0.8416952928	0.3339171255
417	0.8420307666	0.3338074586
418	0.8424274257	0.333674595
419	0.8427109187	0.3335240976
420	0.842852995	0.3334535809
421	0.8430536924	0.3333951542
422	0.8433874542	0.3332747244
423	0.8435546687	0.3332228755
424	0.8438537693	0.3331446319
425	0.8441229888	0.3330662456
426	0.844440691	0.3329791669
427	0.8446466946	0.3329137185
428	0.8447947072	0.3328570146
429	0.8451110384	0.3327521207
430	0.8454619123	0.3326480908
431	0.845798972	0.3325766353
432	0.8460215615	0.3325073967
433	0.8462589952	0.332432698
434	0.8465322388	0.3323528528
435	0.8468987795	0.3322398681
436	0.8470542253	0.3321819024
437	0.8474703827	0.3320838161
438	0.8476968629	0.3320112644
439	0.8480784035	0.3319053716
440	0.8483544634	0.3318048657
441	0.8487669301	0.3316694568
442	0.8490499562	0.3315719922
443	0.8492567158	0.331505438
444	0.8494647056	0.3314254549
445	0.8498557322	0.3312943018
446	0.8502933	0.3311665234
447	0.8506411132	0.3310755951
448	0.8510580265	0.3309720123
449	0.8512141393	0.3309191052
450	0.8514515062	0.3308572909
451	0.8516738585	0.330788989
